df_name,seed,eps,model,attack,target_direction,occurrence,full_name,
Electricity,2210,0.15,LSTM,Targeted_3VITA,Negative,1,df_Electricity_seed_2210_model_LSTM_epsilon_0.15_attack_Targeted_3VITA_target_Negative,
Electricity,2210,0.15,LSTM,Targeted_5VITA,Negative,1,df_Electricity_seed_2210_model_LSTM_epsilon_0.15_attack_Targeted_5VITA_target_Negative,
Electricity,2210,0.15,LSTM,FULLVITA,Negative,1,df_Electricity_seed_2210_model_LSTM_epsilon_0.15_attack_FULLVITA_target_Negative,
Electricity,2210,0.15,GRU,NOATTACK,Negative,1,df_Electricity_seed_2210_model_GRU_epsilon_0.15_attack_NOATTACK_target_Negative,
Electricity,2210,0.15,GRU,BRS,Negative,1,df_Electricity_seed_2210_model_GRU_epsilon_0.15_attack_BRS_target_Negative,
Electricity,2210,0.15,GRU,Targeted_BR5V,Negative,1,df_Electricity_seed_2210_model_GRU_epsilon_0.15_attack_Targeted_BR5V_target_Negative,
Electricity,2210,0.15,GRU,FGSM,Negative,1,df_Electricity_seed_2210_model_GRU_epsilon_0.15_attack_FGSM_target_Negative,
Electricity,2210,0.15,GRU,BIM,Negative,1,df_Electricity_seed_2210_model_GRU_epsilon_0.15_attack_BIM_target_Negative,
Electricity,2210,0.15,GRU,Targeted_1VITA,Negative,1,df_Electricity_seed_2210_model_GRU_epsilon_0.15_attack_Targeted_1VITA_target_Negative,
Electricity,2210,0.15,GRU,Targeted_3VITA,Negative,1,df_Electricity_seed_2210_model_GRU_epsilon_0.15_attack_Targeted_3VITA_target_Negative,
Electricity,2210,0.15,GRU,Targeted_5VITA,Negative,1,df_Electricity_seed_2210_model_GRU_epsilon_0.15_attack_Targeted_5VITA_target_Negative,
Electricity,2210,0.15,GRU,FULLVITA,Negative,1,df_Electricity_seed_2210_model_GRU_epsilon_0.15_attack_FULLVITA_target_Negative,
Electricity,2210,0.15,RF,NOATTACK,Negative,1,df_Electricity_seed_2210_model_RF_epsilon_0.15_attack_NOATTACK_target_Negative,
Electricity,2210,0.15,RF,BRS,Negative,1,df_Electricity_seed_2210_model_RF_epsilon_0.15_attack_BRS_target_Negative,
Electricity,2210,0.15,RF,Targeted_BR5V,Negative,1,df_Electricity_seed_2210_model_RF_epsilon_0.15_attack_Targeted_BR5V_target_Negative,
Electricity,2210,0.15,RF,Targeted_1VITA,Negative,1,df_Electricity_seed_2210_model_RF_epsilon_0.15_attack_Targeted_1VITA_target_Negative,
Electricity,2210,0.15,RF,Targeted_3VITA,Negative,1,df_Electricity_seed_2210_model_RF_epsilon_0.15_attack_Targeted_3VITA_target_Negative,
Electricity,2210,0.15,RF,Targeted_5VITA,Negative,1,df_Electricity_seed_2210_model_RF_epsilon_0.15_attack_Targeted_5VITA_target_Negative,
Electricity,2210,0.15,RF,FULLVITA,Negative,1,df_Electricity_seed_2210_model_RF_epsilon_0.15_attack_FULLVITA_target_Negative,
Electricity,2210,0.2,CNN,NOATTACK,Positive,1,df_Electricity_seed_2210_model_CNN_epsilon_0.2_attack_NOATTACK_target_Positive,
Electricity,2210,0.2,CNN,BRS,Positive,1,df_Electricity_seed_2210_model_CNN_epsilon_0.2_attack_BRS_target_Positive,
Electricity,2210,0.2,CNN,Targeted_BR5V,Positive,1,df_Electricity_seed_2210_model_CNN_epsilon_0.2_attack_Targeted_BR5V_target_Positive,
Electricity,2210,0.2,CNN,FGSM,Positive,1,df_Electricity_seed_2210_model_CNN_epsilon_0.2_attack_FGSM_target_Positive,
Electricity,2210,0.2,CNN,BIM,Positive,1,df_Electricity_seed_2210_model_CNN_epsilon_0.2_attack_BIM_target_Positive,
Electricity,2210,0.2,CNN,Targeted_1VITA,Positive,1,df_Electricity_seed_2210_model_CNN_epsilon_0.2_attack_Targeted_1VITA_target_Positive,
Electricity,2210,0.2,CNN,Targeted_3VITA,Positive,1,df_Electricity_seed_2210_model_CNN_epsilon_0.2_attack_Targeted_3VITA_target_Positive,
Electricity,2210,0.2,CNN,Targeted_5VITA,Positive,1,df_Electricity_seed_2210_model_CNN_epsilon_0.2_attack_Targeted_5VITA_target_Positive,
Electricity,2210,0.2,CNN,FULLVITA,Positive,1,df_Electricity_seed_2210_model_CNN_epsilon_0.2_attack_FULLVITA_target_Positive,
Electricity,2210,0.2,LSTM,NOATTACK,Positive,1,df_Electricity_seed_2210_model_LSTM_epsilon_0.2_attack_NOATTACK_target_Positive,
Electricity,2210,0.2,LSTM,BRS,Positive,1,df_Electricity_seed_2210_model_LSTM_epsilon_0.2_attack_BRS_target_Positive,
Electricity,2210,0.2,LSTM,Targeted_BR5V,Positive,1,df_Electricity_seed_2210_model_LSTM_epsilon_0.2_attack_Targeted_BR5V_target_Positive,
Electricity,2210,0.2,LSTM,FGSM,Positive,1,df_Electricity_seed_2210_model_LSTM_epsilon_0.2_attack_FGSM_target_Positive,
Electricity,2210,0.2,LSTM,BIM,Positive,1,df_Electricity_seed_2210_model_LSTM_epsilon_0.2_attack_BIM_target_Positive,
Electricity,2210,0.2,LSTM,Targeted_1VITA,Positive,1,df_Electricity_seed_2210_model_LSTM_epsilon_0.2_attack_Targeted_1VITA_target_Positive,
Electricity,2210,0.2,LSTM,Targeted_3VITA,Positive,1,df_Electricity_seed_2210_model_LSTM_epsilon_0.2_attack_Targeted_3VITA_target_Positive,
Electricity,2210,0.2,LSTM,Targeted_5VITA,Positive,1,df_Electricity_seed_2210_model_LSTM_epsilon_0.2_attack_Targeted_5VITA_target_Positive,
Electricity,2210,0.2,LSTM,FULLVITA,Positive,1,df_Electricity_seed_2210_model_LSTM_epsilon_0.2_attack_FULLVITA_target_Positive,
Electricity,2210,0.2,GRU,NOATTACK,Positive,1,df_Electricity_seed_2210_model_GRU_epsilon_0.2_attack_NOATTACK_target_Positive,
Electricity,2210,0.2,GRU,BRS,Positive,1,df_Electricity_seed_2210_model_GRU_epsilon_0.2_attack_BRS_target_Positive,
Electricity,2210,0.2,GRU,Targeted_BR5V,Positive,1,df_Electricity_seed_2210_model_GRU_epsilon_0.2_attack_Targeted_BR5V_target_Positive,
Electricity,2210,0.2,GRU,FGSM,Positive,1,df_Electricity_seed_2210_model_GRU_epsilon_0.2_attack_FGSM_target_Positive,
Electricity,2210,0.2,GRU,BIM,Positive,1,df_Electricity_seed_2210_model_GRU_epsilon_0.2_attack_BIM_target_Positive,
Electricity,2210,0.2,GRU,Targeted_1VITA,Positive,1,df_Electricity_seed_2210_model_GRU_epsilon_0.2_attack_Targeted_1VITA_target_Positive,
Electricity,2210,0.2,GRU,Targeted_3VITA,Positive,1,df_Electricity_seed_2210_model_GRU_epsilon_0.2_attack_Targeted_3VITA_target_Positive,
Electricity,2210,0.2,GRU,Targeted_5VITA,Positive,1,df_Electricity_seed_2210_model_GRU_epsilon_0.2_attack_Targeted_5VITA_target_Positive,
Electricity,2210,0.2,GRU,FULLVITA,Positive,1,df_Electricity_seed_2210_model_GRU_epsilon_0.2_attack_FULLVITA_target_Positive,
Electricity,2210,0.2,RF,NOATTACK,Positive,1,df_Electricity_seed_2210_model_RF_epsilon_0.2_attack_NOATTACK_target_Positive,
Electricity,2210,0.2,RF,BRS,Positive,1,df_Electricity_seed_2210_model_RF_epsilon_0.2_attack_BRS_target_Positive,
Electricity,2210,0.2,RF,Targeted_BR5V,Positive,1,df_Electricity_seed_2210_model_RF_epsilon_0.2_attack_Targeted_BR5V_target_Positive,
Electricity,2210,0.2,RF,Targeted_1VITA,Positive,1,df_Electricity_seed_2210_model_RF_epsilon_0.2_attack_Targeted_1VITA_target_Positive,
Electricity,2210,0.2,RF,Targeted_3VITA,Positive,1,df_Electricity_seed_2210_model_RF_epsilon_0.2_attack_Targeted_3VITA_target_Positive,
Electricity,2210,0.2,RF,Targeted_5VITA,Positive,1,df_Electricity_seed_2210_model_RF_epsilon_0.2_attack_Targeted_5VITA_target_Positive,
Electricity,2210,0.2,RF,FULLVITA,Positive,1,df_Electricity_seed_2210_model_RF_epsilon_0.2_attack_FULLVITA_target_Positive,
Electricity,2210,0.2,CNN,NOATTACK,Negative,1,df_Electricity_seed_2210_model_CNN_epsilon_0.2_attack_NOATTACK_target_Negative,
Electricity,2210,0.2,CNN,BRS,Negative,1,df_Electricity_seed_2210_model_CNN_epsilon_0.2_attack_BRS_target_Negative,
Electricity,2210,0.2,CNN,Targeted_BR5V,Negative,1,df_Electricity_seed_2210_model_CNN_epsilon_0.2_attack_Targeted_BR5V_target_Negative,
Electricity,2210,0.2,CNN,FGSM,Negative,1,df_Electricity_seed_2210_model_CNN_epsilon_0.2_attack_FGSM_target_Negative,
Electricity,2210,0.2,CNN,BIM,Negative,1,df_Electricity_seed_2210_model_CNN_epsilon_0.2_attack_BIM_target_Negative,
Electricity,2210,0.2,CNN,Targeted_1VITA,Negative,1,df_Electricity_seed_2210_model_CNN_epsilon_0.2_attack_Targeted_1VITA_target_Negative,
Electricity,2210,0.2,CNN,Targeted_3VITA,Negative,1,df_Electricity_seed_2210_model_CNN_epsilon_0.2_attack_Targeted_3VITA_target_Negative,
Electricity,2210,0.2,CNN,Targeted_5VITA,Negative,1,df_Electricity_seed_2210_model_CNN_epsilon_0.2_attack_Targeted_5VITA_target_Negative,
Electricity,2210,0.2,CNN,FULLVITA,Negative,1,df_Electricity_seed_2210_model_CNN_epsilon_0.2_attack_FULLVITA_target_Negative,
Electricity,2210,0.2,LSTM,NOATTACK,Negative,1,df_Electricity_seed_2210_model_LSTM_epsilon_0.2_attack_NOATTACK_target_Negative,
Electricity,2210,0.2,LSTM,BRS,Negative,1,df_Electricity_seed_2210_model_LSTM_epsilon_0.2_attack_BRS_target_Negative,
Electricity,2210,0.2,LSTM,Targeted_BR5V,Negative,1,df_Electricity_seed_2210_model_LSTM_epsilon_0.2_attack_Targeted_BR5V_target_Negative,
Electricity,2210,0.2,LSTM,FGSM,Negative,1,df_Electricity_seed_2210_model_LSTM_epsilon_0.2_attack_FGSM_target_Negative,
Electricity,2210,0.2,LSTM,BIM,Negative,1,df_Electricity_seed_2210_model_LSTM_epsilon_0.2_attack_BIM_target_Negative,
Electricity,2210,0.2,LSTM,Targeted_1VITA,Negative,1,df_Electricity_seed_2210_model_LSTM_epsilon_0.2_attack_Targeted_1VITA_target_Negative,
Electricity,2210,0.2,LSTM,Targeted_3VITA,Negative,1,df_Electricity_seed_2210_model_LSTM_epsilon_0.2_attack_Targeted_3VITA_target_Negative,
Electricity,2210,0.2,LSTM,Targeted_5VITA,Negative,1,df_Electricity_seed_2210_model_LSTM_epsilon_0.2_attack_Targeted_5VITA_target_Negative,
Electricity,2210,0.2,LSTM,FULLVITA,Negative,1,df_Electricity_seed_2210_model_LSTM_epsilon_0.2_attack_FULLVITA_target_Negative,
Electricity,2210,0.2,GRU,NOATTACK,Negative,1,df_Electricity_seed_2210_model_GRU_epsilon_0.2_attack_NOATTACK_target_Negative,
Electricity,2210,0.2,GRU,BRS,Negative,1,df_Electricity_seed_2210_model_GRU_epsilon_0.2_attack_BRS_target_Negative,
Electricity,2210,0.2,GRU,Targeted_BR5V,Negative,1,df_Electricity_seed_2210_model_GRU_epsilon_0.2_attack_Targeted_BR5V_target_Negative,
Electricity,2210,0.2,GRU,FGSM,Negative,1,df_Electricity_seed_2210_model_GRU_epsilon_0.2_attack_FGSM_target_Negative,
Electricity,2210,0.2,GRU,BIM,Negative,1,df_Electricity_seed_2210_model_GRU_epsilon_0.2_attack_BIM_target_Negative,
Electricity,2210,0.2,GRU,Targeted_1VITA,Negative,2,df_Electricity_seed_2210_model_GRU_epsilon_0.2_attack_Targeted_1VITA_target_Negative,
Electricity,2210,0.2,GRU,Targeted_3VITA,Negative,1,df_Electricity_seed_2210_model_GRU_epsilon_0.2_attack_Targeted_3VITA_target_Negative,
Electricity,2210,0.2,GRU,Targeted_5VITA,Negative,1,df_Electricity_seed_2210_model_GRU_epsilon_0.2_attack_Targeted_5VITA_target_Negative,
Electricity,2210,0.2,GRU,FULLVITA,Negative,1,df_Electricity_seed_2210_model_GRU_epsilon_0.2_attack_FULLVITA_target_Negative,
Electricity,2210,0.2,RF,NOATTACK,Negative,1,df_Electricity_seed_2210_model_RF_epsilon_0.2_attack_NOATTACK_target_Negative,
Electricity,2210,0.2,RF,BRS,Negative,1,df_Electricity_seed_2210_model_RF_epsilon_0.2_attack_BRS_target_Negative,
Electricity,2210,0.2,RF,Targeted_BR5V,Negative,1,df_Electricity_seed_2210_model_RF_epsilon_0.2_attack_Targeted_BR5V_target_Negative,
Electricity,2210,0.2,RF,Targeted_1VITA,Negative,1,df_Electricity_seed_2210_model_RF_epsilon_0.2_attack_Targeted_1VITA_target_Negative,
Electricity,2210,0.2,RF,Targeted_3VITA,Negative,1,df_Electricity_seed_2210_model_RF_epsilon_0.2_attack_Targeted_3VITA_target_Negative,
Electricity,2210,0.2,RF,Targeted_5VITA,Negative,1,df_Electricity_seed_2210_model_RF_epsilon_0.2_attack_Targeted_5VITA_target_Negative,
Electricity,2210,0.2,RF,FULLVITA,Negative,1,df_Electricity_seed_2210_model_RF_epsilon_0.2_attack_FULLVITA_target_Negative,
Electricity,9999,0.05,CNN,NOATTACK,Positive,3,df_Electricity_seed_9999_model_CNN_epsilon_0.05_attack_NOATTACK_target_Positive,
Electricity,9999,0.05,CNN,BRS,Positive,2,df_Electricity_seed_9999_model_CNN_epsilon_0.05_attack_BRS_target_Positive,
Electricity,9999,0.05,CNN,Targeted_BR5V,Positive,1,df_Electricity_seed_9999_model_CNN_epsilon_0.05_attack_Targeted_BR5V_target_Positive,
Electricity,9999,0.05,CNN,FGSM,Positive,2,df_Electricity_seed_9999_model_CNN_epsilon_0.05_attack_FGSM_target_Positive,
Electricity,9999,0.05,CNN,BIM,Positive,2,df_Electricity_seed_9999_model_CNN_epsilon_0.05_attack_BIM_target_Positive,
Electricity,9999,0.05,CNN,Targeted_1VITA,Positive,1,df_Electricity_seed_9999_model_CNN_epsilon_0.05_attack_Targeted_1VITA_target_Positive,
Electricity,9999,0.05,CNN,Targeted_3VITA,Positive,1,df_Electricity_seed_9999_model_CNN_epsilon_0.05_attack_Targeted_3VITA_target_Positive,
Electricity,9999,0.05,CNN,Targeted_5VITA,Positive,1,df_Electricity_seed_9999_model_CNN_epsilon_0.05_attack_Targeted_5VITA_target_Positive,
Electricity,9999,0.05,CNN,FULLVITA,Positive,2,df_Electricity_seed_9999_model_CNN_epsilon_0.05_attack_FULLVITA_target_Positive,
Electricity,9999,0.05,LSTM,NOATTACK,Positive,1,df_Electricity_seed_9999_model_LSTM_epsilon_0.05_attack_NOATTACK_target_Positive,
Electricity,9999,0.05,LSTM,BRS,Positive,1,df_Electricity_seed_9999_model_LSTM_epsilon_0.05_attack_BRS_target_Positive,
Electricity,9999,0.05,LSTM,Targeted_BR5V,Positive,1,df_Electricity_seed_9999_model_LSTM_epsilon_0.05_attack_Targeted_BR5V_target_Positive,
Electricity,9999,0.05,LSTM,FGSM,Positive,1,df_Electricity_seed_9999_model_LSTM_epsilon_0.05_attack_FGSM_target_Positive,
Electricity,9999,0.05,LSTM,BIM,Positive,1,df_Electricity_seed_9999_model_LSTM_epsilon_0.05_attack_BIM_target_Positive,
Electricity,9999,0.05,LSTM,Targeted_1VITA,Positive,1,df_Electricity_seed_9999_model_LSTM_epsilon_0.05_attack_Targeted_1VITA_target_Positive,
Electricity,9999,0.05,LSTM,Targeted_3VITA,Positive,1,df_Electricity_seed_9999_model_LSTM_epsilon_0.05_attack_Targeted_3VITA_target_Positive,
Electricity,9999,0.05,LSTM,Targeted_5VITA,Positive,1,df_Electricity_seed_9999_model_LSTM_epsilon_0.05_attack_Targeted_5VITA_target_Positive,
Electricity,9999,0.05,LSTM,FULLVITA,Positive,1,df_Electricity_seed_9999_model_LSTM_epsilon_0.05_attack_FULLVITA_target_Positive,
Electricity,9999,0.05,GRU,NOATTACK,Positive,1,df_Electricity_seed_9999_model_GRU_epsilon_0.05_attack_NOATTACK_target_Positive,
Electricity,9999,0.05,GRU,BRS,Positive,1,df_Electricity_seed_9999_model_GRU_epsilon_0.05_attack_BRS_target_Positive,
Electricity,9999,0.05,GRU,Targeted_BR5V,Positive,1,df_Electricity_seed_9999_model_GRU_epsilon_0.05_attack_Targeted_BR5V_target_Positive,
Electricity,9999,0.05,GRU,FGSM,Positive,1,df_Electricity_seed_9999_model_GRU_epsilon_0.05_attack_FGSM_target_Positive,
Electricity,9999,0.05,GRU,BIM,Positive,1,df_Electricity_seed_9999_model_GRU_epsilon_0.05_attack_BIM_target_Positive,
Electricity,9999,0.05,GRU,Targeted_1VITA,Positive,1,df_Electricity_seed_9999_model_GRU_epsilon_0.05_attack_Targeted_1VITA_target_Positive,
Electricity,9999,0.05,GRU,Targeted_3VITA,Positive,1,df_Electricity_seed_9999_model_GRU_epsilon_0.05_attack_Targeted_3VITA_target_Positive,
Electricity,9999,0.05,GRU,Targeted_5VITA,Positive,1,df_Electricity_seed_9999_model_GRU_epsilon_0.05_attack_Targeted_5VITA_target_Positive,
Electricity,9999,0.05,GRU,FULLVITA,Positive,1,df_Electricity_seed_9999_model_GRU_epsilon_0.05_attack_FULLVITA_target_Positive,
Electricity,9999,0.05,RF,NOATTACK,Positive,1,df_Electricity_seed_9999_model_RF_epsilon_0.05_attack_NOATTACK_target_Positive,
Electricity,9999,0.05,RF,BRS,Positive,1,df_Electricity_seed_9999_model_RF_epsilon_0.05_attack_BRS_target_Positive,
Electricity,9999,0.05,RF,Targeted_BR5V,Positive,1,df_Electricity_seed_9999_model_RF_epsilon_0.05_attack_Targeted_BR5V_target_Positive,
Electricity,9999,0.05,RF,Targeted_1VITA,Positive,1,df_Electricity_seed_9999_model_RF_epsilon_0.05_attack_Targeted_1VITA_target_Positive,
Electricity,9999,0.05,RF,Targeted_3VITA,Positive,1,df_Electricity_seed_9999_model_RF_epsilon_0.05_attack_Targeted_3VITA_target_Positive,
Electricity,9999,0.05,RF,Targeted_5VITA,Positive,1,df_Electricity_seed_9999_model_RF_epsilon_0.05_attack_Targeted_5VITA_target_Positive,
Electricity,9999,0.05,RF,FULLVITA,Positive,1,df_Electricity_seed_9999_model_RF_epsilon_0.05_attack_FULLVITA_target_Positive,
Electricity,9999,0.05,CNN,NOATTACK,Negative,1,df_Electricity_seed_9999_model_CNN_epsilon_0.05_attack_NOATTACK_target_Negative,
Electricity,9999,0.05,CNN,BRS,Negative,1,df_Electricity_seed_9999_model_CNN_epsilon_0.05_attack_BRS_target_Negative,
Electricity,9999,0.05,CNN,Targeted_BR5V,Negative,1,df_Electricity_seed_9999_model_CNN_epsilon_0.05_attack_Targeted_BR5V_target_Negative,
Electricity,9999,0.05,CNN,FGSM,Negative,1,df_Electricity_seed_9999_model_CNN_epsilon_0.05_attack_FGSM_target_Negative,
Electricity,9999,0.05,CNN,BIM,Negative,1,df_Electricity_seed_9999_model_CNN_epsilon_0.05_attack_BIM_target_Negative,
Electricity,9999,0.05,CNN,Targeted_1VITA,Negative,1,df_Electricity_seed_9999_model_CNN_epsilon_0.05_attack_Targeted_1VITA_target_Negative,
Electricity,9999,0.05,CNN,Targeted_3VITA,Negative,1,df_Electricity_seed_9999_model_CNN_epsilon_0.05_attack_Targeted_3VITA_target_Negative,
Electricity,9999,0.05,CNN,Targeted_5VITA,Negative,1,df_Electricity_seed_9999_model_CNN_epsilon_0.05_attack_Targeted_5VITA_target_Negative,
Electricity,9999,0.05,CNN,FULLVITA,Negative,1,df_Electricity_seed_9999_model_CNN_epsilon_0.05_attack_FULLVITA_target_Negative,
Electricity,9999,0.05,LSTM,NOATTACK,Negative,1,df_Electricity_seed_9999_model_LSTM_epsilon_0.05_attack_NOATTACK_target_Negative,
Electricity,9999,0.05,LSTM,BRS,Negative,1,df_Electricity_seed_9999_model_LSTM_epsilon_0.05_attack_BRS_target_Negative,
Electricity,9999,0.05,LSTM,Targeted_BR5V,Negative,1,df_Electricity_seed_9999_model_LSTM_epsilon_0.05_attack_Targeted_BR5V_target_Negative,
Electricity,9999,0.05,LSTM,FGSM,Negative,1,df_Electricity_seed_9999_model_LSTM_epsilon_0.05_attack_FGSM_target_Negative,
Electricity,9999,0.05,LSTM,BIM,Negative,1,df_Electricity_seed_9999_model_LSTM_epsilon_0.05_attack_BIM_target_Negative,
Electricity,9999,0.05,LSTM,Targeted_1VITA,Negative,1,df_Electricity_seed_9999_model_LSTM_epsilon_0.05_attack_Targeted_1VITA_target_Negative,
Electricity,9999,0.05,LSTM,Targeted_3VITA,Negative,1,df_Electricity_seed_9999_model_LSTM_epsilon_0.05_attack_Targeted_3VITA_target_Negative,
Electricity,9999,0.05,LSTM,Targeted_5VITA,Negative,1,df_Electricity_seed_9999_model_LSTM_epsilon_0.05_attack_Targeted_5VITA_target_Negative,
Electricity,9999,0.05,LSTM,FULLVITA,Negative,1,df_Electricity_seed_9999_model_LSTM_epsilon_0.05_attack_FULLVITA_target_Negative,
Electricity,9999,0.05,GRU,NOATTACK,Negative,1,df_Electricity_seed_9999_model_GRU_epsilon_0.05_attack_NOATTACK_target_Negative,
Electricity,9999,0.05,GRU,BRS,Negative,1,df_Electricity_seed_9999_model_GRU_epsilon_0.05_attack_BRS_target_Negative,
Electricity,9999,0.05,GRU,Targeted_BR5V,Negative,1,df_Electricity_seed_9999_model_GRU_epsilon_0.05_attack_Targeted_BR5V_target_Negative,
Electricity,9999,0.05,GRU,FGSM,Negative,1,df_Electricity_seed_9999_model_GRU_epsilon_0.05_attack_FGSM_target_Negative,
Electricity,9999,0.05,GRU,BIM,Negative,1,df_Electricity_seed_9999_model_GRU_epsilon_0.05_attack_BIM_target_Negative,
Electricity,9999,0.05,GRU,Targeted_1VITA,Negative,1,df_Electricity_seed_9999_model_GRU_epsilon_0.05_attack_Targeted_1VITA_target_Negative,
Electricity,9999,0.05,GRU,Targeted_3VITA,Negative,1,df_Electricity_seed_9999_model_GRU_epsilon_0.05_attack_Targeted_3VITA_target_Negative,
Electricity,9999,0.05,GRU,Targeted_5VITA,Negative,1,df_Electricity_seed_9999_model_GRU_epsilon_0.05_attack_Targeted_5VITA_target_Negative,
Electricity,9999,0.05,GRU,FULLVITA,Negative,1,df_Electricity_seed_9999_model_GRU_epsilon_0.05_attack_FULLVITA_target_Negative,
Electricity,9999,0.05,RF,NOATTACK,Negative,1,df_Electricity_seed_9999_model_RF_epsilon_0.05_attack_NOATTACK_target_Negative,
Electricity,9999,0.05,RF,BRS,Negative,1,df_Electricity_seed_9999_model_RF_epsilon_0.05_attack_BRS_target_Negative,
Electricity,9999,0.05,RF,Targeted_BR5V,Negative,1,df_Electricity_seed_9999_model_RF_epsilon_0.05_attack_Targeted_BR5V_target_Negative,
Electricity,9999,0.05,RF,Targeted_1VITA,Negative,1,df_Electricity_seed_9999_model_RF_epsilon_0.05_attack_Targeted_1VITA_target_Negative,
Electricity,9999,0.05,RF,Targeted_3VITA,Negative,1,df_Electricity_seed_9999_model_RF_epsilon_0.05_attack_Targeted_3VITA_target_Negative,
Electricity,9999,0.05,RF,Targeted_5VITA,Negative,1,df_Electricity_seed_9999_model_RF_epsilon_0.05_attack_Targeted_5VITA_target_Negative,
Electricity,9999,0.05,RF,FULLVITA,Negative,1,df_Electricity_seed_9999_model_RF_epsilon_0.05_attack_FULLVITA_target_Negative,
Electricity,9999,0.1,CNN,NOATTACK,Positive,1,df_Electricity_seed_9999_model_CNN_epsilon_0.1_attack_NOATTACK_target_Positive,
Electricity,9999,0.1,CNN,BRS,Positive,1,df_Electricity_seed_9999_model_CNN_epsilon_0.1_attack_BRS_target_Positive,
Electricity,9999,0.1,CNN,Targeted_BR5V,Positive,1,df_Electricity_seed_9999_model_CNN_epsilon_0.1_attack_Targeted_BR5V_target_Positive,
Electricity,9999,0.1,CNN,FGSM,Positive,1,df_Electricity_seed_9999_model_CNN_epsilon_0.1_attack_FGSM_target_Positive,
Electricity,9999,0.1,CNN,BIM,Positive,1,df_Electricity_seed_9999_model_CNN_epsilon_0.1_attack_BIM_target_Positive,
Electricity,9999,0.1,CNN,Targeted_1VITA,Positive,1,df_Electricity_seed_9999_model_CNN_epsilon_0.1_attack_Targeted_1VITA_target_Positive,
Electricity,9999,0.1,CNN,Targeted_3VITA,Positive,1,df_Electricity_seed_9999_model_CNN_epsilon_0.1_attack_Targeted_3VITA_target_Positive,
Electricity,9999,0.1,CNN,Targeted_5VITA,Positive,1,df_Electricity_seed_9999_model_CNN_epsilon_0.1_attack_Targeted_5VITA_target_Positive,
Electricity,9999,0.1,CNN,FULLVITA,Positive,1,df_Electricity_seed_9999_model_CNN_epsilon_0.1_attack_FULLVITA_target_Positive,
